date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:02:57	206749/206749	---M-Z	200	added ('OK')	application/x-javascript	date:Fri,%2001%20Dec%202023%2023:02:56%20GMT	https://connect.facebook.net/en_US/fbevents.js	C:/Users/Owner/Downloads/yesy/JC/connect.facebook.net/en_US/fbevents.js	(from https://www.um.edu.mt/virtcard/?yeEWG1jv4S)
00:02:57	651479/651479	---MCZ	200	added ('OK')	text/css	etag:%229f0d7-60524a01610da-gzip%22	https://www.um.edu.mt/media/umt4/fontawesome642/css/all.css	C:/Users/Owner/Downloads/yesy/JC/www.um.edu.mt/media/umt4/fontawesome642/css/all.css	(from https://www.um.edu.mt/virtcard/?yeEWG1jv4S)
00:02:58	821/821	---M-Z	200	added ('OK')	text/css	etag:%22335-5d9b2de76b2ae-gzip%22	https://www.um.edu.mt/media/umt4/css/myum.css	C:/Users/Owner/Downloads/yesy/JC/www.um.edu.mt/media/umt4/css/myum.css	(from https://www.um.edu.mt/virtcard/?yeEWG1jv4S)
00:02:58	4875/4875	---M--	200	added ('OK')	image/png	etag:%22130b-608865f082440%22	https://www.um.edu.mt/media/um/images/seaeulogo3versions-01-01.png	C:/Users/Owner/Downloads/yesy/JC/www.um.edu.mt/media/um/images/seaeulogo3versions-01-01.png	(from https://www.um.edu.mt/virtcard/?yeEWG1jv4S)
00:02:58	2220/2220	---M--	200	added ('OK')	image/png	etag:%228ac-5dc70e841b28a%22	https://www.um.edu.mt/media/um/images/hr.png	C:/Users/Owner/Downloads/yesy/JC/www.um.edu.mt/media/um/images/hr.png	(from https://www.um.edu.mt/virtcard/?yeEWG1jv4S)
00:02:58	36991/36991	---MC-	404	error ('Not%20Found')	text/html	date:Fri,%2001%20Dec%202023%2023:02:58%20GMT	https://www.um.edu.mt/media/umt4/css/owl.video.play.png	C:/Users/Owner/Downloads/yesy/JC/www.um.edu.mt/media/umt4/css/owl.video.play.png	(from https://www.um.edu.mt/media/umt4/css/owl.carousel.min.css)
00:02:59	36991/36991	---MC-	404	error ('Not%20Found')	text/html	date:Fri,%2001%20Dec%202023%2023:02:58%20GMT	https://www.um.edu.mt/media/umt4/css/openhand.cur	C:/Users/Owner/Downloads/yesy/JC/www.um.edu.mt/media/umt4/css/openhand.cur	(from https://www.um.edu.mt/media/umt4/css/settings.css)
00:02:59	36991/36991	---MC-	404	error ('Not%20Found')	text/html	date:Fri,%2001%20Dec%202023%2023:02:58%20GMT	https://www.um.edu.mt/media/umt4/css/closedhand.cur	C:/Users/Owner/Downloads/yesy/JC/www.um.edu.mt/media/umt4/css/closedhand.cur	(from https://www.um.edu.mt/media/umt4/css/settings.css)
00:02:59	36991/36991	---MC-	404	error ('Not%20Found')	text/html	date:Fri,%2001%20Dec%202023%2023:02:59%20GMT	https://www.um.edu.mt/media/umt4/assets/gridtile.png	C:/Users/Owner/Downloads/yesy/JC/www.um.edu.mt/media/umt4/assets/gridtile.png	(from https://www.um.edu.mt/media/umt4/css/settings.css)
00:02:59	36991/36991	---MC-	404	error ('Not%20Found')	text/html	date:Fri,%2001%20Dec%202023%2023:02:59%20GMT	https://www.um.edu.mt/media/umt4/assets/gridtile_white.png	C:/Users/Owner/Downloads/yesy/JC/www.um.edu.mt/media/umt4/assets/gridtile_white.png	(from https://www.um.edu.mt/media/umt4/css/settings.css)
00:02:59	36991/36991	---MC-	404	error ('Not%20Found')	text/html	date:Fri,%2001%20Dec%202023%2023:02:59%20GMT	https://www.um.edu.mt/media/umt4/assets/gridtile_3x3.png	C:/Users/Owner/Downloads/yesy/JC/www.um.edu.mt/media/umt4/assets/gridtile_3x3.png	(from https://www.um.edu.mt/media/umt4/css/settings.css)
00:03:00	36991/36991	---MC-	404	error ('Not%20Found')	text/html	date:Fri,%2001%20Dec%202023%2023:02:59%20GMT	https://www.um.edu.mt/media/umt4/assets/gridtile_3x3_white.png	C:/Users/Owner/Downloads/yesy/JC/www.um.edu.mt/media/umt4/assets/gridtile_3x3_white.png	(from https://www.um.edu.mt/media/umt4/css/settings.css)
00:03:00	36991/36991	---MC-	404	error ('Not%20Found')	text/html	date:Fri,%2001%20Dec%202023%2023:02:59%20GMT	https://www.um.edu.mt/media/umt4/assets/coloredbg.png	C:/Users/Owner/Downloads/yesy/JC/www.um.edu.mt/media/umt4/assets/coloredbg.png	(from https://www.um.edu.mt/media/umt4/css/settings.css)
